BallSpeed,WaveInterval,BallsPerWave,WaveDelay,DistractionCount,DistractionSpeed,CubeMode,BallSize,ColorShift,SpawnDistance,SuccessTarget
5.081645,2.09032,2,0.5667712,0,3.335913,2,1.010698,1,8.705544,0
5.081645,2.09032,2,0.5667712,0,3.335913,2,1.010698,1,8.705544,1
3.736544,1.559569,1,0.5950055,4,3.217459,0,0.7898217,0,8.592213,1
3.877352,2.186934,3,0.5467959,2,2.864862,0,1.186881,1,11.6513,1
3.877352,2.186934,3,0.5467959,2,2.864862,0,1.186881,1,11.6513,0
3.877352,2.186934,3,0.5467959,2,2.864862,0,1.186881,1,11.6513,0
6.083592,1.968149,1,0.5072604,3,2.333374,1,1.191586,0,10.53795,0
4.872238,1.896417,3,0.2002985,1,3.76806,2,1.021188,0,10.61773,1
4.872238,1.896417,3,0.2002985,1,3.76806,2,1.021188,0,10.61773,1
4.872238,1.896417,3,0.2002985,1,3.76806,2,1.021188,0,10.61773,0
4.506037,2.31919,2,0.5625963,1,2.780039,0,0.7341987,0,10.64862,1
4.506037,2.31919,2,0.5625963,1,2.780039,0,0.7341987,0,10.64862,1
5.488633,1.656853,3,0.4208519,4,1.727922,1,0.8551074,0,11.00078,0
5.115928,2.277435,2,0.5714263,0,1.912611,2,1.066892,0,8.251,0
5.115928,2.277435,2,0.5714263,0,1.912611,2,1.066892,0,8.251,0
5.115928,2.277435,2,0.5714263,0,1.912611,2,1.066892,0,8.251,1
5.115928,2.277435,2,0.5714263,0,1.912611,2,1.066892,0,8.251,0
4.608807,2.130982,2,0.4299312,3,2.755491,0,0.8058162,0,11.61891,1
4.608807,2.130982,2,0.4299312,3,2.755491,0,0.8058162,0,11.61891,1
3.506781,2.071021,2,0.343756,4,3.798303,1,1.136806,0,10.04974,1
3.506781,2.071021,2,0.343756,4,3.798303,1,1.136806,0,10.04974,1
5.086755,2.433014,3,0.4156199,4,2.840403,2,0.7237592,1,8.469313,0
5.086755,2.433014,3,0.4156199,4,2.840403,2,0.7237592,1,8.469313,1
5.086755,2.433014,3,0.4156199,4,2.840403,2,0.7237592,1,8.469313,1
3.887417,1.949437,3,0.4783556,0,2.636774,0,1.098758,0,8.326399,1
3.887417,1.949437,3,0.4783556,0,2.636774,0,1.098758,0,8.326399,1
3.887417,1.949437,3,0.4783556,0,2.636774,0,1.098758,0,8.326399,0
5.526421,2.119162,1,0.3194807,0,3.833691,1,0.9199822,0,10.71554,1
5.241049,1.461102,1,0.5239969,1,3.673344,1,1.00214,1,9.154565,0
5.263994,2.428735,1,0.4376999,2,3.22232,0,0.9686046,0,8.469231,1
5.62576,2.276123,1,0.5234506,1,2.333771,0,0.7677418,0,9.580717,1
5.734614,2.475172,2,0.4035344,0,1.544913,1,0.7294996,0,11.47206,1
5.734614,2.475172,2,0.4035344,0,1.544913,1,0.7294996,0,11.47206,0
